"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"VANGL2",44.2495413515638,-1.59667973770031,0.27308502253887,3.45668079872608e-10,9.5712977911791e-08
"SLC6A8",834.98890574143,2.28476761888833,0.405487577841767,3.86188300691532e-10,1.0317406641275e-07
"KIFC3",697.827596468489,-0.60071808044188,0.102411878740024,4.9479459524264e-10,1.29597376534337e-07
"ZC2HC1A",188.92217891567,-1.34964969816261,0.232805190292526,5.58332313681119e-10,1.43426981656777e-07
"PRRG1",1010.56292865302,1.0326652967488,0.182750975115574,6.93487971540964e-10,1.7478513818574e-07
"PGRMC1",504.382566022857,0.736657972478401,0.129185656276868,7.78982131124536e-10,1.92697098288177e-07
"TPBG",1007.32419209942,1.85769020508769,0.336325019287527,8.58627079622615e-10,2.08537100538162e-07
"AGAP11",45.5836489506744,-1.48045797446309,0.261092619753308,9.87433159293033e-10,2.35538073961363e-07
"OSBPL8",1074.06322093977,0.417578214718539,0.0721250407377882,1.07731444669913e-09,2.52469585596614e-07
"TRAPPC9",502.556201400296,-0.602539457978257,0.105365655690993,1.16055942056896e-09,2.6728884034414e-07
"SPX",18.3250467969984,-3.07549420489223,0.541919560481762,1.431915483258e-09,3.24195373311193e-07
"ALDOA",3157.34417999225,0.877114050611504,0.159213331262413,1.76355139122417e-09,3.92625324732875e-07
"MFAP5",3085.84546404422,1.16261677785915,0.216056472894756,2.78820966877609e-09,6.00724270250178e-07
"PRDX6",2492.1845762804,0.907694658844254,0.167411092325829,2.78747395357821e-09,6.00724270250178e-07
"P4HA1",1028.89381288235,1.48108422814228,0.278026208488168,3.04157684070717e-09,6.44910848224863e-07
"RALGAPA2",2503.73810514564,-0.738513948250905,0.135654853443274,4.91596403062458e-09,1.02605386751692e-06
"RAD54L2",627.753465969335,-0.633320449991404,0.11690097078293,6.26758342367619e-09,1.28803660574564e-06
"ADAMTSL4",4491.58982195385,-0.88432884956068,0.1647886129348,6.80607483952666e-09,1.37750829858177e-06
"TMEM179B",338.455004238216,0.66366083510182,0.124539069513463,6.96711239268442e-09,1.38905503494744e-06
"GALNT2",1555.66916475807,1.1951860685222,0.230053879076134,7.26384590132841e-09,1.42691843455801e-06
"SPTLC3",12489.9129374874,1.00407342763659,0.194654358682293,1.07941079444206e-08,2.08967672350102e-06
"EZR",16954.0946262301,0.665176641717613,0.127613537599032,1.31297204510456e-08,2.50552579692952e-06
"IGSF8",749.722764236325,1.68513707740356,0.336712049098878,1.45614072153276e-08,2.73959545890628e-06
"APLN",490.283680590677,-1.39179449642474,0.267285014592125,1.55439687886785e-08,2.88383798721067e-06
"PLAC8",177.497668179689,2.225890760919,0.45119826485398,1.63853273105514e-08,2.9982904412924e-06
"BASP1",1256.62790754827,0.921641832606351,0.181853906680886,1.83068577241181e-08,3.30463520917256e-06
"CUL9",399.117746035789,-0.44794763625189,0.0848521410409201,1.97727304728052e-08,3.52165511540976e-06
"SUGP2",676.808328930722,-0.471568902720419,0.0896840627474488,2.10663618936621e-08,3.70269029178339e-06
"C12orf75",256.791381348259,2.07387907415039,0.422604937174689,2.16584244346069e-08,3.75731472204518e-06
"DOCK8",1280.56346145502,-0.832153806355871,0.162287905595536,2.53069832421086e-08,4.33398310446266e-06
"CGA",98614.5368367393,1.71922503914379,0.327794956583463,2.70069497541916e-08,4.56656752932267e-06
"DEDD2",233.868581328101,0.620312473345392,0.121887372892617,2.81802261704009e-08,4.70539326480269e-06
"KRT19",7736.95495857967,1.21070781442873,0.245535625455256,2.91800143070033e-08,4.75349550137744e-06
"MME",4474.5027515741,1.59265776683736,0.325881741366419,2.90102278318393e-08,4.75349550137744e-06
"BMP6",212.857359244806,-1.13939992075967,0.224495588376156,3.0752311087025e-08,4.83281613529976e-06
"LDLR",817.815770190734,0.981687228342613,0.197895488966809,3.06195292432674e-08,4.83281613529976e-06
"SEMA6A",2389.34191261151,-0.816184850499988,0.160229719859875,3.03875488342911e-08,4.83281613529976e-06
"AP3S1",395.21658234945,0.724413850972067,0.144312279301549,3.23861197355626e-08,5.03039287706564e-06
"ACSL3",1293.81848492426,0.570667366458535,0.112537759411745,3.40866100464939e-08,5.23366594254098e-06
"CCSAP",10686.4431718557,1.10463987892378,0.225360504123462,3.63768176736984e-08,5.39912811650292e-06
"MAPKBP1",407.911935899259,-0.66020959529757,0.129784847068363,3.55887474066809e-08,5.39912811650292e-06
"TENM4",48.1647619288587,2.2374413473316,0.461504119709065,3.60454904148921e-08,5.39912811650292e-06
"SYDE1",3656.51757488156,1.27145357735398,0.260774241782111,3.75258486489158e-08,5.5084646840903e-06
