"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RNF223",39.3090404918521,2.42662629557158,0.590596995362493,8.99943662007891e-07,6.94881354745746e-05
"SPAG4",98.6368588383941,2.12040966625844,0.518010340316597,8.97961423899018e-07,6.94881354745746e-05
"GPR155",159.310844764304,-1.28494297056764,0.294558187893992,9.6369880571749e-07,7.3142549129399e-05
"FGF7",77.788072023843,-1.29162305113484,0.297922423999049,1.0456402643742e-06,7.71694069144231e-05
"HCAR2",49.3715800988953,2.77308032282306,0.691898997323672,1.06634017569053e-06,7.82646816861214e-05
"NDRG1",4116.99851196715,1.75992433372022,0.432785340002498,1.08495644566236e-06,7.91958918096054e-05
"CCDC183",262.29476129164,1.75336022498117,0.431729505717834,1.12459342802952e-06,8.16430381066211e-05
"ARHGEF4",102.655858635889,3.21150277678493,0.820787769129591,1.15291976238029e-06,8.32470388425722e-05
"GUCA2A",138.70608377398,1.98488387756892,0.496916648319299,1.37047066819401e-06,9.53476415923729e-05
"CHI3L2",46.3906546513247,2.24382576916573,0.558406525610707,1.39939556762225e-06,9.63563195479282e-05
"LIMCH1",6109.33375473711,1.09762865475317,0.266936818293658,1.39580639526659e-06,9.63563195479282e-05
"SLC16A3",1910.09020658817,1.17581633976385,0.288067933747741,1.47149268331897e-06,9.97776612374357e-05
"ENPP1",1051.15779689673,-1.132538124868,0.2653133617432,1.50430899137098e-06,0.000100607836895629
"SFXN3",953.202207204306,1.35862106177183,0.336021787917902,1.51350642119516e-06,0.000100607836895629
"IPMK",555.743239884588,1.12010261836677,0.276167550830604,1.72499308983712e-06,0.000113509643813026
"VIT",51.2558057782114,2.7591226893776,0.710924234290161,1.73931920236992e-06,0.000113891303457144
"PRKD3",667.871603688048,1.00702714730924,0.248365045523925,1.92058635273668e-06,0.000123342271633926
"SRPX2",123.26155337079,-1.04542059741818,0.249007943355498,2.0115901711813e-06,0.000126749158050188
"GRIK2",25.8671215150744,-1.65277401018144,0.39760995074963,2.26861051265667e-06,0.000140296755685499
"CGB8",1316.99057777946,3.28671767292208,0.887812049266864,2.29588312542862e-06,0.000140680765089337
"FUT9",87.117008663182,1.46632961280091,0.372433928518066,2.46984543159057e-06,0.000149285951471434
"TLE6",87.481270470677,1.47080431719818,0.374762973043916,2.4606310474436e-06,0.000149285951471434
"KIT",232.154123597691,1.12433550684587,0.283249213909979,2.55802754511927e-06,0.000153919513277943
"GPR17",22.3235930025515,2.32857409746502,0.596851479755104,3.0125141243891e-06,0.000178058246343317
"EGLN3",375.691069226558,3.05197319175358,0.842536066290986,3.26842115275638e-06,0.000190653143050305
"ZNF467",40.459431595329,-1.00454929002749,0.248454996541259,3.42773942233496e-06,0.000199077144363263
"PER3",72.0662813616043,-1.06337767074526,0.263647079387098,3.78572583865646e-06,0.000211588810681059
"CALM1",9619.49574653979,1.12487572662808,0.292822133882943,4.13855094981714e-06,0.00022750108472287
"SLC26A6",297.376887208622,1.10099471568386,0.288779118161775,4.82833410698132e-06,0.000260068092746195
"CLC",32.3088772875785,2.09696035747404,0.56345056465233,5.30276555119906e-06,0.000282208534792498
"ARTN",42.011948080495,-1.59013953597989,0.402176025711081,5.57476220213472e-06,0.000294338630419429
"ACKR1",12.7440995285731,-1.67512199528724,0.426295963524742,5.74958781289661e-06,0.000300202666359636
"LRRN3",27.5451547899778,-1.40168215627642,0.357034237612971,5.75324768588612e-06,0.000300202666359636
"NNAT",579.837434571896,1.25911963004715,0.337985068581042,5.74100474131946e-06,0.000300202666359636
"MYH13",6.86521412286505,-1.75954295765594,0.454812675925427,6.43505002494681e-06,0.000330613070127844
"IL1R2",89.4705876654826,2.78725628866355,0.796968377191382,6.4646757955577e-06,0.000330862602594099
"FLNB",7689.61368806143,1.42387343372098,0.390963386524768,7.01101731585502e-06,0.000350760933727308
"VCAM1",341.266399825975,-1.11304921055049,0.286190307092494,7.44770778113709e-06,0.000361769020147015
"SH3BP5",2185.50812373869,1.88799292779508,0.53243349224149,7.47911974501448e-06,0.000361978556354723
"L1CAM",141.093937685493,2.92526587935583,0.860429525748096,7.81785461230874e-06,0.000374923270665716
"KCNF1",35.5704015649573,6.53596747047135,2.17032587839885,8.44385680941286e-06,0.00039856197618423
"PLIN2",11063.6799008011,1.50958549389069,0.427296622232831,1.00302957031639e-05,0.000458851678091998
